Id_Semester,No_Pelajar,Sem_Pelajar,Jumlah_Kredit,Jumlah_Nilai,GPA,CGPA,Status
40,"333571240147",1,13,39.6000,3.0500,3.0500,"KB"
40,"333571240231",1,13,46.1000,3.5500,3.5500,"KB"
41,"333531249117",1,15,58.6000,3.9100,3.9100,"KB"
41,"333571240147",2,17,52.4000,3.0800,3.0700,"KB"
41,"333571240231",2,17,61.6000,3.6200,3.5900,"KB"
41,"333571242802",1,12,38.4000,3.2000,3.2000,"KB"
41,"333571242815",1,12,41.0000,3.4200,3.4200,"KB"
41,"333571242828",1,12,41.3000,3.4400,3.4400,"KB"
41,"333571242844",1,12,43.1000,3.5900,3.5900,"KB"
41,"333571242886",1,12,39.7000,3.3100,3.3100,"KB"
41,"333571242899",1,12,45.0000,3.7500,3.7500,"KB"
41,"333571242912",1,12,43.4000,3.6200,3.6200,"KB"
41,"333571242925",1,12,44.3000,3.6900,3.6900,"KB"
41,"333571242938",1,12,40.9000,3.4100,3.4100,"KB"
41,"333571242941",1,12,39.5000,3.2900,3.2900,"KB"
41,"333571242954",1,12,44.3000,3.6900,3.6900,"KB"
41,"333571242967",1,12,42.9000,3.5800,3.5800,"KB"
41,"333571242983",1,12,41.8000,3.4800,3.4800,"KB"
41,"333571242996",1,12,43.2000,3.6000,3.6000,"KB"
44,"333451244386",2,16,56.5000,3.5300,3.6200,"KB"
41,"333571243005",1,12,39.1000,3.2600,3.2600,"KB"
41,"333571243018",1,12,38.3000,3.1900,3.1900,"KB"
41,"333571243092",1,13,41.5000,3.1900,3.1900,"KB"
41,"333571243115",1,13,46.5000,3.5800,3.5800,"KB"
41,"333571243128",1,13,48.0000,3.6900,3.6900,"KB"
41,"333571243131",1,13,51.4000,3.9500,3.9500,"KB"
41,"333571243144",1,13,43.8000,3.3700,3.3700,"KB"
41,"333571243157",1,13,44.5000,3.4200,3.4200,"KB"
41,"333571243160",1,13,39.2000,3.0200,3.0200,"KB"
41,"333571243173",1,13,41.8000,3.2200,3.2200,"KB"
41,"333571243186",1,13,46.3000,3.5600,3.5600,"KB"
41,"333571243199",1,13,40.7000,3.1300,3.1300,"KB"
41,"333571243225",1,13,46.6000,3.5800,3.5800,"KB"
41,"333571243254",1,13,48.8000,3.7500,3.7500,"KB"
41,"333571243267",1,16,55.6000,3.4800,3.4800,"KB"
41,"333571243270",1,16,48.9000,3.0600,3.0600,"KB"
41,"333571243283",1,16,55.2000,3.4500,3.4500,"KB"
41,"333571243296",1,16,50.6000,3.1600,3.1600,"KB"
41,"333571243319",1,15,50.1000,3.3400,3.3400,"KB"
41,"333571243322",1,15,47.3000,3.1500,3.1500,"KB"
41,"333571243348",1,15,57.1000,3.8100,3.8100,"KB"
41,"333571243429",1,12,43.2000,3.6000,3.6000,"KB"
41,"333571243432",1,12,36.7000,3.0600,3.0600,"KB"
41,"333571243445",1,13,48.0000,3.6900,3.6900,"KB"
41,"333571243513",1,16,53.9000,3.3700,3.3700,"KB"
41,"333571243542",1,12,40.6000,3.3800,3.3800,"KB"
41,"333571243597",1,13,46.6000,3.5800,3.5800,"KB"
41,"333571243607",1,16,53.6000,3.3500,3.3500,"KB"
41,"333571243610",1,15,50.7000,3.3800,3.3800,"KB"
41,"333571243665",1,12,42.9000,3.5800,3.5800,"KB"
41,"333571243681",1,13,45.8000,3.5200,3.5200,"KB"
41,"333571243694",1,13,45.6000,3.5100,3.5100,"KB"
41,"333571243704",1,16,55.1000,3.4400,3.4400,"KB"
41,"333571243720",1,16,55.2000,3.4500,3.4500,"KB"
41,"333571243762",1,16,55.7000,3.4800,3.4800,"KB"
41,"333571243775",1,15,57.4000,3.8300,3.8300,"KB"
41,"333571243801",1,12,44.3000,3.6900,3.6900,"KB"
41,"333571243814",1,13,48.9000,3.7600,3.7600,"KB"
41,"333571243827",1,13,44.1000,3.3900,3.3900,"KB"
41,"333571243830",1,16,51.8000,3.2400,3.2400,"KB"
41,"333571243843",1,16,53.7000,3.3600,3.3600,"KB"
41,"333571243856",1,16,55.8000,3.4900,3.4900,"KB"
41,"333571243869",1,15,53.3000,3.5500,3.5500,"KB"
41,"333571243982",1,13,44.4000,3.4200,3.4200,"KB"
41,"333571243995",1,13,44.4000,3.4200,3.4200,"KB"
41,"333571244017",1,16,55.1000,3.4400,3.4400,"KB"
41,"333571244020",1,16,55.5000,3.4700,3.4700,"KB"
41,"333571244033",1,16,55.7000,3.4800,3.4800,"KB"
41,"333571244130",1,16,54.3000,3.3900,3.3900,"KB"
41,"333571244143",1,16,57.7000,3.6100,3.6100,"KB"
41,"333571244185",1,13,45.2000,3.4800,3.4800,"KB"
41,"333571244198",1,16,53.6000,3.3500,3.3500,"KB"
41,"333571244208",1,12,41.9000,3.4900,3.4900,"KB"
41,"333571244211",1,16,55.7000,3.4800,3.4800,"KB"
41,"333571244224",1,16,53.9000,3.3700,3.3700,"KB"
41,"333571244237",1,16,53.0000,3.3100,3.3100,"KB"
41,"333571244266",1,15,34.7000,2.3100,2.3100,"KB"
41,"333571244282",1,15,54.9000,3.6600,3.6600,"KB"
42,"333531249117",2,19,70.1000,3.6900,3.7900,"KB"
42,"333571240147",3,16,51.5000,3.2200,3.1200,"KB"
42,"333571240231",3,16,57.8000,3.6100,3.6000,"KB"
42,"333571242802",2,16,52.3000,3.2700,3.2400,"KB"
42,"333571242815",2,16,53.2000,3.3300,3.3600,"KB"
42,"333571242828",2,16,57.3000,3.5800,3.5200,"KB"
42,"333571242844",2,16,59.3000,3.7100,3.6600,"KB"
42,"333571242886",2,16,53.9000,3.3700,3.3400,"KB"
42,"333571242899",2,16,58.1000,3.6300,3.6800,"KB"
42,"333571242912",2,16,53.3000,3.3300,3.4500,"KB"
42,"333571242925",2,16,56.3000,3.5200,3.5900,"KB"
42,"333571242938",2,16,57.0000,3.5600,3.5000,"KB"
42,"333571242941",2,16,54.9000,3.4300,3.3700,"KB"
42,"333571242954",2,16,57.3000,3.5800,3.6300,"KB"
42,"333571242967",2,16,56.1000,3.5100,3.5400,"KB"
42,"333571242983",2,16,54.5000,3.4100,3.4400,"KB"
42,"333571242996",2,16,56.0000,3.5000,3.5400,"KB"
42,"333571243005",2,16,56.4000,3.5300,3.4100,"KB"
42,"333571243018",2,16,56.7000,3.5400,3.3900,"KB"
42,"333571243092",2,17,56.4000,3.3200,3.2600,"KB"
42,"333571243115",2,17,65.4000,3.8500,3.7300,"KB"
42,"333571243128",2,17,63.1000,3.7100,3.7000,"KB"
42,"333571243131",2,17,65.4000,3.8500,3.8900,"KB"
42,"333571243144",2,17,57.7000,3.3900,3.3800,"KB"
