Id_Semester,No_Pelajar,Sem_Pelajar,Jumlah_Kredit,Jumlah_Nilai,GPA,CGPA,Status
43,"333571247823",1,13,38.3000,2.9500,2.9500,"KB"
43,"333571247836",1,13,40.8000,3.1400,3.1400,"KB"
43,"333571247849",1,13,38.7000,2.9800,2.9800,"KB"
43,"333571247852",1,13,45.8000,3.5200,3.5200,"KB"
43,"333571247865",1,13,44.0000,3.3800,3.3800,"KB"
43,"333571247878",1,13,42.0000,3.2300,3.2300,"KB"
43,"333571247881",1,13,45.9000,3.5300,3.5300,"KB"
43,"333571247894",1,13,45.6000,3.5100,3.5100,"KB"
43,"333571247904",1,16,59.3000,3.7100,3.7100,"KB"
43,"333571247917",1,16,53.9000,3.3700,3.3700,"KB"
43,"333571247933",1,16,56.5000,3.5300,3.5300,"KB"
43,"333571247946",1,16,56.9000,3.5600,3.5600,"KB"
43,"333571247962",1,16,50.7000,3.1700,3.1700,"KB"
43,"333571247975",1,16,57.3000,3.5800,3.5800,"KB"
43,"333571247988",1,16,52.5000,3.2800,3.2800,"KB"
43,"333571248000",1,16,49.3000,3.0800,3.0800,"KB"
43,"333571248013",1,16,55.2000,3.4500,3.4500,"KB"
43,"333571248026",1,16,51.3000,3.2100,3.2100,"KB"
43,"333571248042",1,16,59.8000,3.7400,3.7400,"KB"
43,"333571248055",1,16,60.7000,3.7900,3.7900,"KB"
43,"333571248071",1,16,57.0000,3.5600,3.5600,"KB"
43,"333571248084",1,16,55.8000,3.4900,3.4900,"KB"
43,"333571248107",1,15,43.6000,2.9100,2.9100,"KB"
43,"333571248288",1,13,44.8000,3.4500,3.4500,"KB"
43,"333571248291",1,12,41.9000,3.4900,3.4900,"KB"
43,"333571248301",1,13,48.4000,3.7200,3.7200,"KB"
43,"333571248330",1,16,42.4000,2.6500,2.6500,"KB"
43,"333571248372",1,13,38.5000,2.9600,2.9600,"KB"
43,"333571248398",1,13,45.6000,3.5100,3.5100,"KB"
43,"333571248408",1,13,42.5000,3.2700,3.2700,"KB"
43,"333571248411",1,16,54.6000,3.4100,3.4100,"KB"
43,"333571248534",1,13,40.6000,3.1200,3.1200,"KB"
43,"333571248547",1,16,51.2000,3.2000,3.2000,"KB"
43,"333571248550",1,16,50.8000,3.1800,3.1800,"KB"
43,"333571248576",1,16,55.4000,3.4600,3.4600,"KB"
43,"333571248602",1,12,45.0000,3.7500,3.7500,"KB"
43,"333571248631",1,12,40.3000,3.3600,3.3600,"KB"
43,"333571248657",1,15,53.2000,3.5500,3.5500,"KB"
43,"333571248673",1,13,45.7000,3.5200,3.5200,"KB"
43,"333571248686",1,15,55.3000,3.6900,3.6900,"KB"
43,"333572148628",1,15,52.1000,3.4700,3.4700,"KB"
43,"333451244386",1,12,44.8000,3.7300,3.7300,"KB"
44,"333571248547",2,15,49.1000,3.2700,3.2400,"KB"
44,"333571248550",2,15,51.2000,3.4100,3.2900,"KB"
44,"333571248576",2,15,53.2000,3.5500,3.5000,"KB"
44,"333571248602",2,16,58.0000,3.6300,3.6800,"KB"
44,"333571248631",2,16,57.7000,3.6100,3.5000,"KB"
44,"333571248657",2,19,64.8000,3.4100,3.4700,"KB"
44,"333571248673",2,17,59.9000,3.5200,3.5200,"KB"
44,"333571248686",2,19,68.1000,3.5800,3.6300,"KB"
44,"333571248738",1,20,71.4000,3.5700,3.5700,"KB"
44,"333571248754",1,20,65.3000,3.2700,3.2700,"KB"
44,"333571248819",1,20,75.6000,3.7800,3.7800,"KB"
44,"333571248822",1,20,51.5000,2.5800,2.5800,"KB"
44,"333571248835",1,20,71.4000,3.5700,3.5700,"KB"
44,"333571248848",1,20,74.0000,3.7000,3.7000,"KB"
44,"333571248851",1,20,72.1000,3.6100,3.6100,"KB"
44,"333571248893",1,20,72.4000,3.6200,3.6200,"KB"
44,"333571248916",1,20,74.6000,3.7300,3.7300,"KB"
44,"333571248932",1,20,65.1000,3.2600,3.2600,"KB"
44,"333571249012",1,20,78.0000,3.9000,3.9000,"KB"
44,"333571249038",1,20,64.1000,3.2100,3.2100,"KB"
44,"333571249067",1,20,69.4000,3.4700,3.4700,"KB"
44,"333571249083",1,20,71.0000,3.5500,3.5500,"KB"
44,"333571249148",1,20,69.3000,3.4700,3.4700,"KB"
44,"333571249177",1,12,43.5000,3.6300,3.6300,"KB"
44,"333571249180",1,12,41.5000,3.4600,3.4600,"KB"
44,"333571249193",1,12,48.0000,4.0000,4.0000,"KB"
44,"333571249216",1,15,59.4000,3.9600,3.9600,"KB"
44,"333571249229",1,12,43.9000,3.6600,3.6600,"KB"
44,"333571249232",1,12,44.4000,3.7000,3.7000,"KB"
44,"333571249245",1,12,40.9000,3.4100,3.4100,"KB"
44,"333571249258",1,12,36.5000,3.0400,3.0400,"KB"
44,"333571249261",1,12,44.1000,3.6800,3.6800,"KB"
44,"333571249274",1,12,39.2000,3.2700,3.2700,"KB"
44,"333571249287",1,12,41.1000,3.4300,3.4300,"KB"
44,"333571249313",1,12,46.5000,3.8800,3.8800,"KB"
